channel_elevation,channel_slope,channel_curvature,channel_along_track_distance,channel_dist_to_river_center,ridge1_elevation,ridge1_slope,ridge1_curvature,ridge1_dist_along,ridge1_dist_to_river_center,floodplain1_elevation,floodplain1_slope,floodplain1_curvature,floodplain1_dist_along,floodplain1_dist_to_river_center,ridge2_elevation,ridge2_slope,ridge2_curvature,ridge2_dist_along,ridge2_dist_to_river_center,floodplain2_elevation,floodplain2_slope,floodplain2_curvature,floodplain2_dist_along,floodplain2_dist_to_river_center,width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,type,reach_id,node_id
119.5,0.0,0.0,600.0000000001309,11.915322580862608,130.00999450683594,0.3503331502249916,0.011677771674070622,660.0000000006065,71.91532258133827,129.1300048828125,-0.007666524251479015,-0.0002777777777899281,840.0000000001733,251.915322580905,,,,,,,,,,,42.0,429.0,1.09041130151685,42.0,334650.596419747,1,1,2442.76485967136,3224.80916813264,1,61302000331,61302000330321
119.0,0.0,-0.0005555555555587115,480.0000000005229,1.5120967741531217,127.48999786376953,0.04300003051895164,-0.0014222208658062068,689.9999999996613,208.4879032249853,125.81999969482422,-0.018999989827348244,-0.00020000033906484598,930.000000000501,448.487903225825,125.2300033569336,0.013666788736583326,0.0003777821858455647,360.0000000007016,121.5120967739744,124.41000366210938,0.00033340454102627465,-5.555894639890828e-05,209.99999999988987,271.5120967747862,39.0,9.0,1.09041130151685,39.0,334468.219931747,1,1,2445.12124823446,3224.80916813264,1,61302000331,61302000330311
118.0,-0.28700002035713534,-0.011433334351333434,419.9999999998125,14.395161290507133,123.26000213623047,0.17533340454909815,0.00584444681857269,479.99999999895596,45.60483870863635,122.93000030517578,-0.004333241780402332,0.00012223137749976394,630.0000000005135,195.60483871019392,,,,,,,,,,,42.0,24.0,1.10389084607951,42.0,334273.396026683,1,1,2447.47763679757,1389.06111021129,1,61302000331,61302000330301
117.5,-0.195999908452482,-0.0058999972876404025,839.9999999981057,8.981854840404253,122.43000030517578,0.16433334350003292,0.005477778116473549,899.9999999993013,51.01814516079128,122.37999725341797,0.0,0.00022222730847638368,1109.9999999992942,261.01814516078423,,,,,,,,,,,68.0,36.7755102040816,1.10389084607951,68.0,334071.505749278,1,1,2450.22675678786,1389.06111021129,1,61302000331,61302000330291
116.0,0.0,0.0,600.0000000003747,9.55040322606419,122.83000183105469,0.22766672770411095,0.0075888909235466324,659.9999999994992,69.55040322518869,121.56999969482422,0.00566660563158025,0.0017777760823605895,749.999999998941,159.5504032246305,,,,,,,,,,,42.0,20.16,1.10860320833914,42.0,333654.400046386,1,1,2454.54680248688,1401.31509361788,1,61302000331,61302000330271
115.5,-0.34200007122006587,-0.012466668023826585,959.9999999997746,4.881048387364444,123.2300033569336,0.2576667785588796,0.008588892618443535,1020.0000000002376,55.1189516130986,119.75,0.004333241780765337,0.0002444373236913285,1589.9999999994357,625.1189516122967,129.4499969482422,0.17099990844832513,0.004388885498134874,810.0000000004599,154.88104838667914,121.94999694824219,0.0003331502278651887,2.2210015191174452e-05,329.999999999541,634.881048387598,67.0,164.4,1.12745265737763,67.0,333461.731365646,1,1,2456.51045962281,1450.33102724425,1,61302000331,61302000330261
115.0,0.0,-0.000555555555576335,1619.9999999996694,7.881048385661188,122.30999755859375,0.24366658527980253,0.008122219509104892,1680.0000000003513,67.88104838634308,120.31999969482422,-0.007333374023264144,-0.0003555552164638174,2070.000000000991,457.8810483869827,131.5,0.06266682942375625,-0.004166658189656612,1440.0000000019315,172.11895161207667,120.83000183105469,0.0013333638509159453,-5.5558946394752414e-05,1230.000000000797,382.11895161321127,108.0,277.805555555556,1.12745265737763,108.0,333283.369549624,1,1,2458.86684818591,1450.33102724425,1,61302000331,61302000330251
114.0,0.0,0.0,1230.0000000002965,13.463709678103442,121.79000091552734,0.03199996948192614,0.001077770656976492,1349.9999999994911,133.46370967729808,119.70999908447266,-0.00033340454102021895,0.00014444139268111466,1769.9999999997901,553.4637096775971,121.37000274658203,-0.013666534423602631,-0.0009111022948922684,1110.0000000002847,106.53629032190838,118.05999755859375,0.0006665547688907365,-1.1113484700855106e-05,569.9999999989441,646.536290323249,80.0,198.69387755102,1.12745265737763,80.0,333075.371468672,1,1,2461.6159681762,1450.33102724425,1,61302000331,61302000330241
113.0,0.0,0.0,570.000000002209,6.907258062355027,118.52999877929688,0.0016665140787371674,5.555046928994311e-05,450.0000000004482,126.90725806411587,117.11000061035156,0.0009999593098991583,-0.0004055362277656054,29.999999999900243,546.9072580646638,,,,,,,,,,,42.0,99.04,1.12745265737763,42.0,332858.967086724,1,1,2463.57962531212,1450.33102724425,1,61302000331,61302000330231
112.5,0.0,0.0,540.0000000009323,0.5806451607267036,118.13999938964844,0.004333241780586495,-0.00010000440808210871,390.0000000004878,150.58064516117128,116.55999755859375,0.0006665547688814868,-0.00027216593424248415,29.99999999994246,510.5806451617166,,,,,,,,,,,42.0,599.76,1.2534224284463,42.0,332677.556153574,1,1,2465.54328244804,1132.39570402699,1,61302000331,61302000330221
